№; region;customer; type; receiver;win; model; ;final price; trades date
2772;Алтайский край;"КГКУ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК АЛТАЙСКОГО КРАЯ""";РХА;ПП;Гелпик;«РЕНЕКС» ;1;10 500 000,00;06.08.2020 9:35
2773;Кемеровская область;"ГБУЗ КО ""НГКБ №29""";Ф;СЛ;Медтех;«КАРС»-БКС1 ;1;6 550 500,00;04.08.2020 12:05
2774;Астраханская область;"ГКУ АО ""РЦОЗ""";АПР;ППМ;Гелпик;«РЕНЕКС» ;1;6 050 000,00;05.08.2020 9:30
2775;Москва;РОСГВАРДИЯ;Фа;;Ворсма ТД;ВМК «Лучевая диагностика» ;1;11 198 331,60;31.07.2020 10:50
2776;Белгородская область;УПРАВЛЕНИЕ ГОСУДАРСТВЕННОГО ЗАКАЗА И ЛИЦЕНЗИРОВАНИЯ БЕЛГОРОДСКОЙ ОБЛАСТИ;;РХА;;;1;не состоялся;04.08.2020 9:45
2777;Республика Дагестан;КОМИТЕТ ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ РЕСПУБЛИКИ ДАГЕСТАН;Фа;;ДжиСиМед;МЛПМ «Флюорограф»;1;11 000 000,00;05.08.2020 13:05
2778;Республика Дагестан;КОМИТЕТ ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ РЕСПУБЛИКИ ДАГЕСТАН;плюс 5 ФАП и амбулатория;;;;;;05.08.2020 13:05
2779;Республика Ингушетия;КОМИТЕТ ГОСЗАКАЗА ИНГУШЕТИИ;КРД-2;ППМ;Гелпик;Аппарат рентгенографический цифровой «РЕНЕКС-2» ;1;12 296 666,67;04.08.2020 11:47
2780;Республика Дагестан;КОМИТЕТ ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ РЕСПУБЛИКИ ДАГЕСТАН;Фа;;ДжиСиМед;"МЛПМ «Флюорограф»
 (с флюорографом цифровым малодозовым ФЦМБарс-«РЕНЕКС») 
";1;11 000 000,00;05.08.2020 12:50
2781;Республика Дагестан;КОМИТЕТ ПО ГОСУДАРСТВЕННЫМ ЗАКУПКАМ РЕСПУБЛИКИ ДАГЕСТАН;плюс 5 ФАП и амбулатория;;;;;;05.08.2020 12:50
2782;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2783;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2784;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2785;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2786;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2787;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2788;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2789;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2790;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2791;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2792;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2793;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2794;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2795;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2796;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2797;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2798;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2799;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2800;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2801;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2802;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2803;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2804;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2805;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2806;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2807;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2808;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2809;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2810;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2811;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2812;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2813;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2814;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2815;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2816;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2817;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2818;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2819;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2820;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2821;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2822;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2823;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2824;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2825;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2826;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2827;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2828;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2829;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2830;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2831;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2832;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2833;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2834;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2835;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2836;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2837;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2838;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2839;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2840;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2841;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2842;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2843;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2844;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2845;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2846;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2847;Москва;ТЕНДЕРНЫЙ КОМИТЕТ;;ППС;;;1;отменен;
2848;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;франция;1;44 735 164,82;
2849;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2850;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2851;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2852;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2853;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2854;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2855;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2856;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2857;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2858;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2859;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2860;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2861;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2862;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2863;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2864;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2865;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2866;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2867;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2868;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2869;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2870;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2871;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2872;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2873;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2874;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2875;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2876;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2877;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2878;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2879;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2880;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2881;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2882;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2883;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2884;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2885;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2886;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2887;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2888;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2889;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2890;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2891;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2892;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2893;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2894;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2895;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2896;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2897;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2898;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2899;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2900;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2901;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2902;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2903;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2904;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2905;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2906;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2907;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2908;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2909;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2910;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2911;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";Мжц;ППС;н/дЖЦ;;1;44 735 164,82;
2912;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2913;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2914;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2915;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2916;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2917;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2918;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2919;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2920;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2921;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2922;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2923;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2924;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2925;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2926;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2927;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2928;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2929;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2930;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2931;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2932;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2933;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2934;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2935;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2936;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2937;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2938;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2939;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2940;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2941;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2942;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2943;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2944;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2945;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2946;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2947;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2948;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2949;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2950;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2951;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2952;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2953;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2954;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2955;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2956;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2957;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2958;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2959;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2960;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2961;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2962;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2963;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2964;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2965;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2966;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2967;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
2968;Москва;"ГАУ ""ГОРМЕДТЕХНИКА""";;ППС;;;1;отменен;
